codigo_proveedor,nombre
BONE,INVERSIONES & NEGOCIOS BONED E.I.R.L.
BOT,BOTICAS IP S.A.C
BOTC,BOTICA DEL PUEBLO
BOTH,BOTICA HORIZONTE
BOTI,BOTICA 24 HORAS
BOUT,BOUTIQUE CELULAR
BPRO,SERVICIOS DE MEDICINA ORTOMOLECULAR E IN
BTL,BOTICAS TORRES DE LIMATAMBO
BULL,CORPORACION BULL POWER
BURS,BOTICA SANTA URSULA
BYIM,BUSINESS YI MIN E.I.R.L.
C&C,PRODUCTS COVER & COMFORT AQP
CA¥A,FARMACIA SE¥OR DE LA CA¥A
CALI,J.CALIENS E.I.R. LTDA.
CAR,CAR MART SAC
CARI,CARITAS DIOCESANA DE AREQUIPA
CARV,CARVAJAL S.A
CASB,CASBELL
CAST,EMILIO CASTRO PORTARO
CAY,CAYANI GUILLEN YENNY AZENEHT
CCO,CCOSI JOAQUIN SARAI PERSIDA
CELI,CELIMSA
CELL,CELL STAR DEL PERU S.A.
CENC,CENCOSUD RETAIL PERU SA
CENI,CENI
CENT,CENTRAL
CERR,CERRITOS
CIAR,CONSORCIO ANDINO S.A
CIEN,CIEN DISTRIBUIDORA SAC
CIEZ,AUGUSTO
CILG,CILGAL
CIRU,CIRUGIA PERUANA
CLAR,MGP COMUNICACIONES EIRL
CLIN,CLINICA AREQUIPA SA
CLIS,CLINICA SAN JUAN DE DIOS
CLSP,CORPORACION LOURDES Y SAO PAULO EIRL
CLVA,CLINICA VALLESUR
CMS,CMS DEL SUR S.A.C.
COAR,CORPORACION ARION SOCIEDAD ANONIMA CERRA
COBO,CORPORACION BOTICAS PERU S.A.C.
COEM,CORPORACION EMANUEL MEDIC S.A.C.
COFA,CONSORCIO FARMACEUTICO
COFS,CONSORCIO HBO S.A.C.
COHE,COHELSA COMERCIALIZ.DE HELADO
COLM,COLEGIO MEDICO DEL PERU
COME,COMERSUR DISTRIBUIDORA
CONC,CONCEPTO.COM S.A.C.
CONP,CONCEPTO PIEL E.I.R.L.
CONT,DISTRIBUIDORA CONTINENTAL S.A.
COOP,LA COOPER
COQF,CORPORACION Q.F. S.A.C.
CORD,CORDIRESA SA
CORO,CORONA
CORP,CORPORACION FARMACOLOGICA
COSM,BOTICA COSMOS S.A.
COVE,COVER & CIA S.A.C.
CREP,CREPIER CLASS COMPLEMENTS SRL
CUEV,DROGUERIA CUEVA HNOS S.A.
CUGL,DROG  CUGLIEVAN BARRANCA S.A.
CYNK,CYNKAT
CHAR,CHARMER KIT S.A
CHEM,CHEMINOVA PERU S.A
CHIL,CHILDREN'S IMPORT S.A
CHIN,CHIN-WA
CHIQ,CHIQUITO MODA INFANTIL
CHUP,CHUPETIN
CHUS,CHUSCHUCO AGUA MINERAL
DAIL,DAILIN IMPORT S.R.LTDA.
DALF,DISTRIBUIDORA DROGUERIA ALFARO S.A.C.
DASU,DASUR S.C.R.L DISTRIBUIDORA
DBI,DROGUERIA BIENESTAR INTEGRAL
DCIM,D & C IMPORTACIONES PERU E.I.R.L.
DCOS,DISTRIBUIDORA DE COSMETICOS SA
DEAL,DEAL DISTRIBUCIONES E.I.R.L.
DECA,DECATEL EMPRESA TELEFONICA
DECO,DECO S.A.- REPRESENTACIONES
DELQ,DELTA QUIMICA S.R.L.
DENS,DENTHI SHOP S.A.C.
DENT,LABORATORIOS DENTAID PERU S.A.C.
DERT,DERMOTIENDA SHOPPING S.A.C
DFRI,DFRIO DISTRIBUCIONES S.A.C.
DIBO,DIBOSUR E.I.R.L.
DICA,DROGUERIA Y DISTRIBUCIONES DICAR S.A.C.
DICM,DISTRIBUIDORES DICMA S.A.
DICO,DICOPER S.A
DIFA,DIFARMA DISTRIBUCIONES
DIFE,DIFESA S.A.
DILA,DILASA S.A.
DIME,DIMEXA S.A.
DIPR,DIPROSA DISTRIB.PRODUCT.ESPEC.
DISB,DISTRIBUIDORA BENAVENTE
